"pais";"codigo";"cantHabitantes";"confirmados";"porCien"
"Afghanistan";4;38928341;58312;0,149793180243669
"Albania";8;2877800;130114;4,52130099381472
"Algeria";12;43851043;120363;0,274481498649872
"Andorra";20;77265;12942;16,7501456027956
"Angola";24;32866268;25051;0,076221005682787
"Antigua and Barbuda";28;97928;1217;1,24274977534515
"Argentina";32;45195777;2796768;6,18811797394257
"Armenia";51;2963234;211399;7,13406366152656
"Australia";36;25499881;29638;0,116227993377695
"Austria";40;9006400;602494;6,68962071415882
"Azerbaijan";31;10139175;307980;3,03752524243836
"Bahamas";44;393248;9868;2,5093579624054
"Bahrain";48;1701583;168201;9,88497181741943
"Bangladesh";50;164689383;736074;0,446946844169062
"Barbados";52;287371;3806;1,32442034860859
"Belarus";112;9449321;348486;3,68794752554178
"Belgium";56;11589616;964526;8,32232922988993
"Belize";84;397621;12596;3,16784073275808
"Benin";204;12123198;7720;0,063679567058131
"Bhutan";64;771612;992;0,128562023400362
"Bolivia";68;11673029;294391;2,52197608692654
"Bosnia and Herzegovina";70;3280815;194371;5,92447303490139
"Botswana";72;2351625;45855;1,94992824110987
"Brazil";76;212559409;14167973;6,66541794910617
"Brunei Darussalam";96;437483;223;0,0509734092524738
"Bulgaria";100;6948445;392913;5,65468964638851
"Burkina Faso";854;20903278;13212;0,0632053977371396
"Burma";104;54409794;142674;0,262221172901335
"Burundi";108;11890781;3732;0,0313856591926132
"Cabo Verde";132;555988;21500;3,86698993503457
"Cambodia";116;16718971;8193;0,0490042120415186
"Cameroon";120;26545864;64809;0,244139727379
"Canada";124;37742157;1164108;3,0843706150658
"Central African Republic";140;4829764;6175;0,127853037953821
"Chad";148;16425859;4735;0,0288264985106715
"Chile";152;19116209;1148320;6,00704878252796
"China";156;1439323774;102872;0,00714724524518276
"Colombia";170;50882884;2720619;5,34682546688981
"Comoros";174;869595;3824;0,439744938735848
"Congo (Brazzaville)";178;5518092;10084;0,182744325393632
"Costa de Marfil";384;26378275;45715;0,173305494767948
"Costa Rica";188;5094114;235274;4,61854603175351
"Croatia";191;4105268;316308;7,70492937367305
"Cuba";192;11326616;97967;0,864927353412528
"Cyprus";196;1207361;59792;4,95228850360414
"Czech Republic";203;10708982;1612832;15,0605538416257
"Democratic Republic of the Congo";180;89561404;29350;0,0327708127487595
"Denmark";208;5792203;246455;4,25494410330577
"Djibouti";262;988002;10697;1,08269011601191
"Dominica";212;71991;172;0,238918753733106
"Dominican Republic";214;10847904;262935;2,42383229055124
"East Timor";626;1318442;1657;0,125678641912196
"Ecuador";218;17643060;365393;2,07102962864718
"Egypt";818;102334403;219774;0,214760621606402
"El Salvador";222;6486201;68161;1,05086166771582
"Equatorial Guinea";226;1402985;7505;0,5349308795176
"Eritrea";232;3546427;3597;0,101426026815158
"Estonia";233;1326539;119218;8,98714625050602
"Eswatini";748;1160164;18426;1,5882237338859
"Ethiopia";231;114963583;247989;0,215710917778198
"Fiji";242;896444;86;0,00959346038347069
"Finland";246;5540718;85077;1,53548691703855
"France";250;65273512;5469674;8,37962265612428
"Gabon";266;2225728;22228;0,998684475371654
"Gambia";270;2416664;5820;0,240827851947975
"Georgia";268;3989175;300264;7,52696986218955
"Germany";276;83783945;3254609;3,88452584800107
"Ghana";288;31072945;91928;0,295845791250234
"Greece";300;10423056;326395;3,1314712307024
"Grenada";308;112519;159;0,141309467734338
"Guatemala";320;17915567;218145;1,21762822242801
"Guinea";324;13132792;21745;0,165577890824739
"Guinea-Bissau";624;1967998;3721;0,189075395401825
"Guyana";328;786559;12234;1,55538236801054
"Haiti";332;11402533;12944;0,113518636604691
"Honduras";340;9904608;204828;2,06800713364931
"Hungary";348;9660350;760967;7,87721976947005
"Iceland";352;341250;6379;1,86930402930403
"India";356;1380004385;16263695;1,1785248783829
"Indonesia";360;273523621;1626812;0,59476106452978
"Iran";364;83992953;2335905;2,78107259784044
"Iraq";368;40222503;1010304;2,51178799091643
"Ireland";372;4937796;245310;4,96800596865484
"Israel";376;8655541;837807;9,67942962779565
"Italy";380;60461828;3920945;6,48499248153728
"Jamaica";388;2961161;44502;1,5028564809546
"Japan";392;126476458;553362;0,437521740211921
"Jordan";400;10203140;697487;6,83600342639619
"Kazakhstan";398;18776707;352988;1,8799249516968
"Kenya";404;53771300;154392;0,287127147753541
"Kosovo";NA;1831000;102720;5,61004915346805
"Kuwait";414;4270563;262766;6,15295922340919
"Kyrgyzstan";417;6524191;93006;1,42555605744835
"Laos";418;7275556;94;0,00129199747758109
"Latvia";428;1886202;113561;6,02061709191274
"Lebanon";422;6825442;516600;7,56874060317266
"Lesotho";426;2142252;10723;0,500548021427918
"Liberia";430;5057677;2091;0,0413430909091269
"Libya";434;6871287;174216;2,53542022040412
"Liechtenstein";438;38137;2851;7,47567978603456
"Lithuania";440;2722291;237950;8,74079956918639
"Luxembourg";442;625976;65813;10,5136618656306
"Madagascar";450;27691019;34069;0,123032669906442
"Malawi";454;19129955;33989;0,177674228716168
"Malaysia";458;32365998;384688;1,18855596543014
"Maldives";462;540542;27084;5,01052647157853
"Mali";466;20250834;13420;0,0662688756423563
"Malta";470;441539;30096;6,81615893499781
"Marshall Islands";584;59194;4;0,0067574416325979
"Mauritania";478;4649660;18192;0,391254414301261
"Mauritius";480;1271767;1205;0,0947500603491048
"Mexico";484;128932753;2319596;1,79907428176919
"Micronesia";954;548927;1;0,000182173585923083
"Moldova";498;4033963;248009;6,14802366804058
"Monaco";492;39244;2423;6,17419223320762
"Mongolia";496;3278292;26692;0,814204469888588
"Montenegro";499;628062;96187;15,314889294369
"Morocco";504;36910558;507938;1,37613199995513
"Mozambique";508;31255435;69523;0,222434914119736
"Namibia";516;2540916;47172;1,85649584637981
"Nepal";524;29136808;292152;1,00269048002787
"Netherlands";528;17134873;1460753;8,52502962817407
"New Zealand";554;4822233;2600;0,053916930185663
"Nicaragua";558;6624554;6835;0,103176757257923
"Niger";562;24206636;5143;0,0212462400806126
"Nigeria";566;206139587;164588;0,0798429852292272
"North Macedonia";807;2083380;149221;7,16244756117463
"Norway";578;5421242;109581;2,0213264783236
"Oman";512;5106622;185278;3,62819100375943
"Pakistan";586;220892331;784108;0,354972939282351
"Panama";591;4314768;361992;8,38960518850608
"Papua New Guinea";598;8947027;10338;0,11554676206968
"Paraguay";600;7132530;260382;3,65062607517949
"Peru";604;32971846;1734606;5,26087013751065
"Philippines";608;109581085;971049;0,886146546185411
"Poland";616;37846605;2731256;7,21664730561698
"Portugal";620;10196707;832891;8,16823509786052
"Qatar";634;2881060;199980;6,94119525452438
"Romania";642;19237682;1039998;5,40604632096528
"Russia";643;145934460;4682573;3,20868217143504
"Rwanda";646;12952209;24262;0,187319398567457
"Saint Kitts and Nevis";659;53192;44;0,0827192058956234
"Saint Lucia";662;183629;4455;2,42608738271188
"Saint Vincent and the Grenadines";670;110947;1827;1,6467322234941
"Samoa";882;198410;3;0,00151202056347966
"San Marino";674;33938;5045;14,8653426837174
"Sao Tome and Principe";678;219161;2292;1,04580650754468
"Saudi Arabia";682;34813867;409093;1,17508635280304
"Senegal";686;16743930;39975;0,238743234115288
"Serbia";688;8737370;673520;7,7084980949645
"Seychelles";690;98340;5170;5,2572706935123
"Sierra Leone";694;7976985;4044;0,0506958456108417
"Singapore";702;5850343;60904;1,04103297875013
"Slovakia";703;5459643;378150;6,92627704778499
"Slovenia";705;2078932;234811;11,2947898247754
"Solomon Islands";90;686878;20;0,00291172522631384
"Somalia";706;15893219;13459;0,0846839145675901
"South Africa";710;59308690;1571348;2,64943973640288
"South Korea";410;51269183;117458;0,229100588554337
"South Sudan";728;11193729;10504;0,0938382553302836
"Spain";724;46754783;3456886;7,39365211041617
"Sri Lanka";144;21413250;98722;0,461032304764573
"Sudan";729;43849269;33599;0,0766238543224061
"Suriname";740;586634;9865;1,68162772699844
"Sweden";752;10099270;932076;9,22914230434477
"Switzerland";756;8654618;644396;7,44568968844148
"Syria";760;17500657;21725;0,124138196640275
"Taiwan";158;23816775;1086;0,0045598113094657
"Tajikistan";762;9537642;13308;0,139531343281704
"Tanzania";834;59734213;509;0,000852107987092757
"Thailand";764;69799978;48113;0,0689298211526657
"Togo";768;8278737;12698;0,153380884064804
"Trinidad and Tobago";780;1399491;9383;0,670458045103541
"Tunisia";788;11818618;294138;2,48876814531107
"Turkey";792;84339067;4501382;5,33724424530331
"Uganda";800;45741000;41529;0,0907916311405522
"Ukraine";804;43733759;2043901;4,6735086275113
"United Arab Emirates";784;9890400;504872;5,10466715198576
"United Kingdom";826;67886004;4413834;6,50183210076704
"United States of America";840;331002647;31929351;9,64625246637378
"Uruguay";858;3473727;175891;5,06346641517886
"Uzbekistan";860;33469199;87935;0,262734103675442
"Vanuatu";548;307150;4;0,00130229529545825
"Vatican City";336;809;27;3,33745364647713
"Venezuela";862;28435943;188063;0,661356649927171
"Vietnam";704;97338583;2824;0,00290121338626842
"West Bank and Gaza";NA;2881957;287680;9,98210590928317
"Yemen";887;29825968;6020;0,0201837539690246
"Zambia";894;18383956;91189;0,496024903453859
"Zimbabwe";716;14862927;38018;0,255790800829473
